id,category,sub-category,district,circle,village,latitude,longitude,accessibility,infrastructure,availability,employability,water,sanitation,energy,alternate_energy,communication,record_maintenance,govt_support,educational_materials,digital_technologies,health,facilities,educational_statistics,disaster_preparedness,general_information,partnerships,overall score,,,,,,,,,
2344.00,Education,Schools,Papumpare,Naharlagun,Borum,27.12,93.70,50.00,90.00,74.11,43.02,0.00,54.25,50.00,0.00,18.00,14.29,42.86,34.55,0.00,87.20,14.00,29.33,0.00,67.00,75.00,56.16,,,,,,,,,
2452.00,Education,Schools,East Siang,Mebo,Mottum,28.08,95.43,41.00,90.00,78.79,32.53,45.00,75.62,0.00,59.09,18.00,14.29,42.86,34.55,0.00,27.20,29.30,29.63,0.00,49.00,75.00,49.60,,,,,,,,,
2893.00,Education,Schools,West Kameng,Shergaon,Shergaon,27.14,92.27,15.00,85.00,74.11,9.60,45.00,36.38,50.00,0.00,12.00,14.29,42.86,34.55,0.00,60.00,8.00,26.48,0.00,49.00,75.00,42.43,,,,,,,,,
3529.00,Education,Schools,East Siang,Pasighat,Boyng,28.06,95.29,25.00,85.00,77.23,31.02,45.00,7.50,50.00,0.00,30.00,14.29,0.00,24.55,0.00,84.00,29.80,26.68,0.00,47.00,100.00,46.32,,,,,,,,,
790.00,Education,Schools,Lohit,Tezu,Lohitpur,27.99,96.20,35.00,80.00,74.11,4.80,0.00,7.50,0.00,0.00,24.00,14.29,42.86,34.55,0.00,36.00,6.20,14.33,0.00,49.00,75.00,42.08,,,,,,,,,
819.00,Education,Schools,East Siang,Oyan,Sille Village,27.90,95.30,38.50,55.00,70.98,71.20,45.00,24.38,0.00,42.42,18.00,14.29,0.00,7.27,0.00,30.40,33.50,19.93,0.00,57.00,75.00,45.01,,,,,,,,,
824.00,Education,Schools,Changlang,Changlang,Changlang (CT),27.13,95.75,43.00,85.00,70.98,12.00,45.00,35.50,0.00,0.00,24.00,14.29,71.43,34.55,100.00,90.40,8.00,21.38,0.00,63.67,75.00,53.41,,,,,,,,,
847.00,Education,Schools,Lower Subansiri,Yachuli,Jara,27.52,93.77,35.87,80.00,61.61,16.44,45.00,0.00,0.00,0.00,18.00,14.29,0.00,34.55,0.00,0.00,10.50,12.90,0.00,40.00,75.00,39.98,,,,,,,,,
862.00,Education,Schools,Tirap,Khonsa,Kheti,26.96,95.51,43.00,85.00,74.11,11.64,0.00,49.75,0.00,0.00,12.00,14.29,42.86,24.55,0.00,60.00,9.20,26.38,0.00,49.00,100.00,47.20,,,,,,,,,
869.00,Education,Schools,Tirap,Khonsa,Khonsa I,27.00,95.51,48.00,85.00,74.11,11.82,0.00,16.88,0.00,0.00,24.00,14.29,42.86,34.55,0.00,93.60,10.50,13.98,0.00,48.00,75.00,46.57,,,,,,,,,
